Event Identifier,Event Name,Event Record,First Date Year,First Date,Last Date,Venue Identifier,Venue Name,Suburb,State,Country,Latitude,Longitude,Primary Genre,Secondary Genre,Organisations,Subjects,Contributor Count,Resource Count,Works,,,
156437,Hearts of the World,https://ausstage.edu.au/pages/event/156437,1919,11/1/1919,,11008,Grand Opera House (1914-1977),Wellington,O/S,New Zealand,-41.2917234,174.7776787,Other,Film,,,0,1,,,,
156439,My Life Story,https://ausstage.edu.au/pages/event/156439,1998,26/6/1998,26/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"My Life Story, Glastonbury Festival",,0,0,,,,
156440,Gomez,https://ausstage.edu.au/pages/event/156440,1998,26/6/1998,26/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Gomez, Glastonbury Festival",,0,0,,,,
156441,Taj Mahal,https://ausstage.edu.au/pages/event/156441,1998,26/6/1998,26/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156442,Ben Harper & The Innocent Criminals,https://ausstage.edu.au/pages/event/156442,1998,26/6/1998,26/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Innocent Criminals, Glastonbury Festival",,1,0,,,,
156443,Finley Quaye,https://ausstage.edu.au/pages/event/156443,1998,26/6/1998,26/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156444,The Lightning Seeds,https://ausstage.edu.au/pages/event/156444,1998,26/6/1998,26/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Lightning Seeds, Glastonbury Festival",,0,0,,,,
156445,Foo Fighters,https://ausstage.edu.au/pages/event/156445,1998,26/6/1998,26/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Foo Fighters, Glastonbury Festival",,0,0,,,,
156446,James,https://ausstage.edu.au/pages/event/156446,1998,26/6/1998,26/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"James, Glastonbury Festival",,0,0,,,,
156447,Primal Scream,https://ausstage.edu.au/pages/event/156447,1998,26/6/1998,26/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Primal Scream, Glastonbury Festival",,0,0,,,,
156448,Sharon Shannon,https://ausstage.edu.au/pages/event/156448,1998,27/6/1998,27/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156449,Jools Holland and His Rhythm & Blues Orchestra,https://ausstage.edu.au/pages/event/156449,1998,27/6/1998,27/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Jools Holland and His Rhythm & Blues Orchestra, Glastonbury Festival",,1,0,,,,
156450,Meredith Brooks,https://ausstage.edu.au/pages/event/156450,1998,27/6/1998,27/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156451,Hothouse Flowers,https://ausstage.edu.au/pages/event/156451,1998,27/6/1998,27/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Hothouse Flowers, Glastonbury Festival",,0,0,,,,
156452,Tori Amos,https://ausstage.edu.au/pages/event/156452,1998,27/6/1998,27/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156453,Stereophonics,https://ausstage.edu.au/pages/event/156453,1998,27/6/1998,27/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Stereophonics, Glastonbury Festival",,0,0,,,,
156454,Mansun,https://ausstage.edu.au/pages/event/156454,1998,27/6/1998,27/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Mansun, Glastonbury Festival",,0,0,,,,
156455,Robbie Williams,https://ausstage.edu.au/pages/event/156455,1998,27/6/1998,27/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156456,Tricky,https://ausstage.edu.au/pages/event/156456,1998,27/6/1998,27/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156457,Blur,https://ausstage.edu.au/pages/event/156457,1998,27/6/1998,27/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Blur, Glastonbury Festival",,0,0,,,,
156458,The Town Band,https://ausstage.edu.au/pages/event/156458,1998,28/6/1998,28/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Town Band, Glastonbury Festival",,0,0,,,,
156459,Medieval Babes,https://ausstage.edu.au/pages/event/156459,1998,28/6/1998,28/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Medieval Babes, Glastonbury Festival",,0,0,,,,
156460,Steve Earle,https://ausstage.edu.au/pages/event/156460,1998,28/6/1998,28/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156461,Space,https://ausstage.edu.au/pages/event/156461,1998,28/6/1998,28/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Space, Glastonbury Festival",,0,0,,,,
156464,Waves,https://ausstage.edu.au/pages/event/156464,2016,5/3/2016,5/3/2016,11154,Circa Theatre (1994-),Wellington,O/S,New Zealand,-41.290288,174.78055,Theatre - Spoken Word,Family,"Auckland Arts Festival, Moore Wilson's, Creative Scotland",,1,0,Waves,,,
156476,Ricordi!,https://ausstage.edu.au/pages/event/156476,1996,1/3/1996,4/3/1996,14453,The Opera House (1977-),Te Aro,O/S,New Zealand,-41.291943,174.777602,Theatre - Spoken Word,"Family, Storytelling","The National Bank of New Zealand, New Zealand International Festival of the Arts",,6,0,"At the Bay, Prelude",,,
156478,Gaudeamus: Construction Battalion,https://ausstage.edu.au/pages/event/156478,1996,14/3/1996,16/3/1996,11022,St James Theatre (1930-),Te Aro,O/S,New Zealand,-41.293066,174.779482,Theatre - Spoken Word,"Acrobatics, Music, Satire, Visual Theatre","The Company (Dunedin), The Maly Theatre of St Petersburg, Adelaide Festival Centre, New Zealand International Festival of the Arts",,5,0,,,,
156481,Grimm Tales,https://ausstage.edu.au/pages/event/156481,1996,20/3/1996,24/3/1996,11022,St James Theatre (1930-),Te Aro,O/S,New Zealand,-41.293066,174.779482,Theatre - Spoken Word,"Classical, Music","The Young Vic Company, The British Council, Lotto New Zealand",,2,0,Grimms' Fairy Tales,,,
156483,A Frigate Bird Sings,https://ausstage.edu.au/pages/event/156483,1996,1/3/1996,3/3/1996,4490,Downstage Theatre @ Hannah Playhouse (1973 - 2013),Wellington,O/S,New Zealand,-41.293825,174.78368,Theatre - Spoken Word,Tragi-comedy,"Downstage Theatre Company (Wellington), Creative New Zealand (Creative NZ)",,3,0,A Frigate Bird Sings,,,
156484,Woyzech on the Highveld,https://ausstage.edu.au/pages/event/156484,1996,20/3/1996,24/3/1996,20722,Paramount Theatre,Te Aro,O/S,New Zealand,-41.293928,174.782158,Theatre - Spoken Word,"Drama, Music, Puppetry","Handspring Puppet Company, The Adelaide Festival of Arts, Capital Power Limited, Energy Direct",,2,0,Woyzeck,,,
156485,Ningali,https://ausstage.edu.au/pages/event/156485,1996,1/3/1996,7/3/1996,20722,Paramount Theatre,Te Aro,O/S,New Zealand,-41.293928,174.782158,Theatre - Spoken Word,"Autobiographical, Dance, Indigenous, Music, Stand-up Comedy, Storytelling","Australia New Zealand Foundation, Australia Council for the Arts, Capital Power Limited, Energy Direct",,3,0,Ningali,,,
156486,The Brother,https://ausstage.edu.au/pages/event/156486,1996,4/3/1996,9/3/1996,20722,Paramount Theatre,Te Aro,O/S,New Zealand,-41.293928,174.782158,Theatre - Spoken Word,Comedy,"New Zealand International Festival of the Arts, Capital Power Limited, Energy Direct",,2,0,,,,
156487,Lano and Woodley,https://ausstage.edu.au/pages/event/156487,1996,12/3/1996,17/3/1996,20722,Paramount Theatre,Te Aro,O/S,New Zealand,-41.293928,174.782158,Theatre - Spoken Word,"Comedy, Physical Theatre","Capital Power Limited, Energy Direct",,3,0,,,,
156488,Moumie,https://ausstage.edu.au/pages/event/156488,1996,8/3/1996,11/3/1996,11022,St James Theatre (1930-),Te Aro,O/S,New Zealand,-41.293066,174.779482,Theatre - Spoken Word,"Clowning, Comedy, Ensemble, Family, Physical Theatre","Licedei Theater, Lotto New Zealand",,0,0,,,,
156489,Market Forces,https://ausstage.edu.au/pages/event/156489,1996,1/3/1996,24/3/1996,11154,Circa Theatre (1994-),Wellington,O/S,New Zealand,-41.290288,174.78055,Theatre - Spoken Word,"Comedy, Satire","Circa Theatre, Creative New Zealand (Creative NZ)",,7,0,Market Forces,,,
156553,Going Up,https://ausstage.edu.au/pages/event/156553,1919,11/2/1919,,11245,"Theatre Royal, Christchurch",Christchurch,O/S,New Zealand,-43.529718,172.638175,Music Theatre,"Comedy, Musical","Buckley and Nunn Ltd, The New Musical Comedy Company, J C Williamson Limited (1910-1979)","Aviation, Relationships, Romance",25,1,Going Up,,,
156562,Living Yesterday Tomorrow,https://ausstage.edu.au/pages/event/156562,1996,8/3/1996,10/3/1996,14453,The Opera House (1977-),Te Aro,O/S,New Zealand,-41.291943,174.777602,Theatre - Spoken Word,Music,"Adelaide Festival Centre Trust, Manifest Productions, The British Council, The Evening Post",,1,0,,,,
156578,Twin Houses,https://ausstage.edu.au/pages/event/156578,1996,12/3/1996,17/3/1996,20701,"Victoria University, Memorial Theatre",Kelburn,O/S,New Zealand,-41.288851,174.769222,Theatre - Spoken Word,"Dance Theatre, Mime, Puppetry, Visual Theatre","Compagnie Mossoux, CGRI, The Evening Post",,2,0,Twin Houses,,,
156582,1001 Nights,https://ausstage.edu.au/pages/event/156582,1996,1/3/1996,3/3/1996,11022,St James Theatre (1930-),Te Aro,O/S,New Zealand,-41.293066,174.779482,Dance,Ballet,"Wellington Regional Orchestra, The Royal New Zealand Ballet, Creative New Zealand (Creative NZ), Te Rito Maioha Early Childhood New Zealand (ECNZ)",,3,0,One Thousand and One Nights,,,
156584,Romeo and Juliet,https://ausstage.edu.au/pages/event/156584,1996,21/3/1996,23/3/1996,14453,The Opera House (1977-),Te Aro,O/S,New Zealand,-41.291943,174.777602,Dance,"Ballet, Classical","Lyon Opera Ballet, Association Francaise d'Action Artistique, Park Royal Wellington",,3,0,"Romeo and Juliet, Romeo and Juliet, Op. 64",,,
156589,New Zealand Festival 2002,https://ausstage.edu.au/pages/event/156589,2002,22/2/2002,17/3/2002,4481,Wellington,Wellington,O/S,New Zealand,-41.28646,174.776236,Other,Festival,"New Zealand Festival, Australia Council for the Arts, Canadian Department of Foreign Affairs, Creative New Zealand (Creative NZ), Embassy of the Argentine Republic, Fonds Podiumkunsten, Fulbright New Zealand, GO Wellington, Goethe Institut, Government of Brazil, Government of Québec, Hutt City Council, Japan Foundation, Kāpiti Coast District Council, Masterton District Council, Ministry of Foreign Affairs of Spain, National Arts Council, Singapore, Porirua City Council, The British Council, Upper Hutt City Council, Wellington City Council, Wellington Community Trust, Air New Zealand, Contact Energy Limited, Heineken, Lotto New Zealand, Minter Ellison Rudd Watts Lawyers, New Zealand Post Limited, Oktobor, Saatchi and Saatchi, Silver Screen Productions, Stagecoach New Zealand, Television New Zealand, The Dominion, The Evening Post, Tower Insurance, Transpower, TV3, Victoria University of Wellington (Te Herenga Waka), VISA",,1,0,,,,
156593,Friendly Enemies,https://ausstage.edu.au/pages/event/156593,1919,7/3/1919,8/3/1919,11245,"Theatre Royal, Christchurch",Christchurch,O/S,New Zealand,-43.529718,172.638175,Theatre - Spoken Word,"Comedy, Drama",J C Williamson Limited (1910-1979),,16,0,Friendly Enemies,,,
156596,Tony Bennett,https://ausstage.edu.au/pages/event/156596,1998,28/6/1998,28/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156597,Sonic Youth,https://ausstage.edu.au/pages/event/156597,1998,28/6/1998,28/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Sonic Youth, Glastonbury Festival",,0,0,,,,
156598,Bob Dylan,https://ausstage.edu.au/pages/event/156598,1998,28/6/1998,28/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156599,Nick Cave and the Bad Seeds,https://ausstage.edu.au/pages/event/156599,1998,28/6/1998,28/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156600,Pulp,https://ausstage.edu.au/pages/event/156600,1998,28/6/1998,28/6/1998,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Pulp, Glastonbury Festival",,0,0,,,,
156601,Echo & the Bunnymen,https://ausstage.edu.au/pages/event/156601,1997,27/6/1997,27/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Echo & the Bunnymen, Glastonbury Festival",,0,0,,,,
156602,Terrorvision,https://ausstage.edu.au/pages/event/156602,1997,27/6/1997,27/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Terrorvision, Glastonbury Festival",,0,0,,,,
156603,The Levellers,https://ausstage.edu.au/pages/event/156603,1997,27/6/1997,27/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Levellers, Glastonbury Festival",,0,0,,,,
156604,Beck,https://ausstage.edu.au/pages/event/156604,1997,27/6/1997,27/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156605,Supergrass,https://ausstage.edu.au/pages/event/156605,1997,27/6/1997,27/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Supergrass, Glastonbury Festival",,0,0,,,,
156606,Smashing Pumpkins,https://ausstage.edu.au/pages/event/156606,1997,27/6/1997,27/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Smashing Pumpkins, Glastonbury Festival",,0,0,,,,
156607,The Prodigy,https://ausstage.edu.au/pages/event/156607,1997,27/6/1997,27/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Prodigy, Glastonbury Festival",,0,0,,,,
156608,Murray Lachlan Young,https://ausstage.edu.au/pages/event/156608,1997,28/6/1997,28/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156609,The Wannadies,https://ausstage.edu.au/pages/event/156609,1997,28/6/1997,28/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Wannadies, Glastonbury Festival",,0,0,,,,
156610,Republica,https://ausstage.edu.au/pages/event/156610,1997,28/6/1997,28/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Republica, Glastonbury Festival",,0,0,,,,
156611,The Longpigs,https://ausstage.edu.au/pages/event/156611,1997,28/6/1997,28/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Longpigs, Glastonbury Festival",,0,0,,,,
156612,Nanci Griffith,https://ausstage.edu.au/pages/event/156612,1997,28/6/1997,28/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156613,"Mark Fisher MP, Minister for the Arts",https://ausstage.edu.au/pages/event/156613,1997,28/6/1997,28/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Other,,Glastonbury Festival,,1,0,,,,
156614,Ray Davies,https://ausstage.edu.au/pages/event/156614,1997,28/6/1997,28/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Big Country, Glastonbury Festival",,2,0,,,,
156615,Cast,https://ausstage.edu.au/pages/event/156615,1997,28/6/1997,28/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Cast, Glastonbury Festival",,0,0,,,,
156616,Ocean Colour Scene,https://ausstage.edu.au/pages/event/156616,1997,28/6/1997,28/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Ocean Colour Scene, Glastonbury Festival",,0,0,,,,
156617,Radiohead,https://ausstage.edu.au/pages/event/156617,1997,28/6/1997,28/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Radiohead, Glastonbury Festival",,0,0,,,,
156618,The Glastonbury Town Band,https://ausstage.edu.au/pages/event/156618,1997,29/6/1997,29/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Glastonbury Town Band, Glastonbury Festival",,0,0,,,,
156619,Dónal Lunny,https://ausstage.edu.au/pages/event/156619,1997,29/6/1997,29/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156620,The Blue Nile,https://ausstage.edu.au/pages/event/156620,1997,29/6/1997,29/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Blue Nile, Glastonbury Festival",,0,0,,,,
156621,Billy Bragg,https://ausstage.edu.au/pages/event/156621,1997,29/6/1997,29/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156622,Sheryl Crow,https://ausstage.edu.au/pages/event/156622,1997,29/6/1997,29/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156623,Van Morrison,https://ausstage.edu.au/pages/event/156623,1997,29/6/1997,29/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156624,Sting,https://ausstage.edu.au/pages/event/156624,1997,29/6/1997,29/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156625,Kula Shaker,https://ausstage.edu.au/pages/event/156625,1997,29/6/1997,29/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Kula Shaker, Glastonbury Festival",,0,0,,,,
156626,Ash,https://ausstage.edu.au/pages/event/156626,1997,29/6/1997,29/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Ash, Glastonbury Festival",,0,0,,,,
156627,Steve Winwood,https://ausstage.edu.au/pages/event/156627,1997,29/6/1997,29/6/1997,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156628,Spearhead,https://ausstage.edu.au/pages/event/156628,1995,23/6/1995,23/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Spearhead, Glastonbury Festival",,1,0,,,,
156629,Senser,https://ausstage.edu.au/pages/event/156629,1995,23/6/1995,23/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Senser, Glastonbury Festival",,0,0,,,,
156630,Ozric Tentacles,https://ausstage.edu.au/pages/event/156630,1995,23/6/1995,23/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Ozric Tentacles, Glastonbury Festival",,0,0,,,,
156631,Bruce Kent,https://ausstage.edu.au/pages/event/156631,1995,23/6/1995,23/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Other,,Glastonbury Festival,,1,0,,,,
156632,The Lightning Seeds,https://ausstage.edu.au/pages/event/156632,1995,23/6/1995,23/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Lightning Seeds, Glastonbury Festival",,0,0,,,,
156633,War,https://ausstage.edu.au/pages/event/156633,1995,23/6/1995,23/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"War, Glastonbury Festival",,0,0,,,,
156634,Sinéad O'Connor,https://ausstage.edu.au/pages/event/156634,1995,23/6/1995,23/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156635,Soul Asylum,https://ausstage.edu.au/pages/event/156635,1995,23/6/1995,23/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Soul Asylum, Glastonbury Festival",,0,0,,,,
156636,The Black Crowes,https://ausstage.edu.au/pages/event/156636,1995,23/6/1995,23/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Black Crowes, Glastonbury Festival",,0,0,,,,
156637,Oasis,https://ausstage.edu.au/pages/event/156637,1995,23/6/1995,23/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Oasis, Glastonbury Festival",,0,0,,,,
156638,Dave Matthews Band,https://ausstage.edu.au/pages/event/156638,1995,24/6/1995,24/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Dave Matthews Band, Glastonbury Festival",,0,0,,,,
156639,Indigo Girls,https://ausstage.edu.au/pages/event/156639,1995,24/6/1995,24/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Indigo Girls, Glastonbury Festival",,0,0,,,,
156640,Everything But The Girl,https://ausstage.edu.au/pages/event/156640,1995,24/6/1995,24/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Everything But The Girl, Glastonbury Festival",,1,0,,,,
156641,Jeff Buckley,https://ausstage.edu.au/pages/event/156641,1995,24/6/1995,24/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,2,0,,,,
156642,The Boo Radleys,https://ausstage.edu.au/pages/event/156642,1995,24/6/1995,24/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Boo Radleys, Glastonbury Festival",,0,0,,,,
156643,Jamiroquai,https://ausstage.edu.au/pages/event/156643,1995,24/6/1995,24/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Jamiroquai, Glastonbury Festival",,0,0,,,,
156644,PJ Harvey,https://ausstage.edu.au/pages/event/156644,1995,24/6/1995,24/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156645,Pulp,https://ausstage.edu.au/pages/event/156645,1995,24/6/1995,24/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Pulp, Glastonbury Festival",,0,0,,,,
156646,The Stone Roses,https://ausstage.edu.au/pages/event/156646,1995,24/6/1995,24/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Stone Roses, Glastonbury Festival",,0,0,,,,
156647,Wincanton Town Band,https://ausstage.edu.au/pages/event/156647,1995,25/6/1995,25/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Wincanton Town Band, Glastonbury Festival",,0,0,,,,
156649,Avalonian Free State Choir,https://ausstage.edu.au/pages/event/156649,1995,25/6/1995,25/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Avalonian Free State Choir, Glastonbury Festival",,0,0,,,,
156650,The Bootleg Beatles,https://ausstage.edu.au/pages/event/156650,1995,25/6/1995,25/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Avalonian Free State Choir, Glastonbury Festival",,0,0,,,,
156651,The Saw Doctors,https://ausstage.edu.au/pages/event/156651,1995,25/6/1995,25/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"The Saw Doctors, Glastonbury Festival",,0,0,,,,
156652,Tanita Tikaram,https://ausstage.edu.au/pages/event/156652,1995,25/6/1995,25/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,1,0,,,,
156653,Jimmy Page & Robert Plant,https://ausstage.edu.au/pages/event/156653,1995,25/6/1995,25/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,Glastonbury Festival,,2,0,,,,
156654,Simple Minds,https://ausstage.edu.au/pages/event/156654,1995,25/6/1995,25/6/1995,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Simple Minds, Glastonbury Festival",,0,0,,,,
156655,Dreadzone,https://ausstage.edu.au/pages/event/156655,1994,24/6/1994,24/6/1994,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,,"Dreadzone, Glastonbury Festival",,0,0,,,,
156656,Glastonbury Festival 1993: Pyramid Stage,https://ausstage.edu.au/pages/event/156656,1993,25/6/1993,27/6/1993,20237,Glastonbury Festival - Pyramid Stage,Shepton Mallet,O/S,England,51.159706,-2.585441,Music,Festival,Glastonbury Festival,,0,0,,,,
